model_id,validation_id,folds.0.scores.OverallWeightedAverage,folds.0.scores.MeanAbsolutePercentageError,folds.0.scores.fit_time,folds.0.scores.pred_time,folds.0.ground_truth,folds.0.predictions,folds.0.train_data,means.OverallWeightedAverage,means.MeanAbsolutePercentageError,means.fit_time,means.pred_time,stds.OverallWeightedAverage,stds.MeanAbsolutePercentageError,stds.fit_time,stds.pred_time
AutoETS,[dataset=m4_yearly_dataset]_[cv_splitter=ExpandingWindowSplitter],1.8281889903388484e+16,0.2214083598673554,288.015725556761,60.74616486765444,,,,1.8281889903388484e+16,0.2214083598673554,288.015725556761,60.74616486765444,,,,
Comb,[dataset=m4_yearly_dataset]_[cv_splitter=ExpandingWindowSplitter],2880302905432745.5,0.1718852456616527,1076.049960264936,209.5769915431738,,,,2880302905432745.5,0.1718852456616527,1076.049960264936,209.5769915431738,,,,
Damped,[dataset=m4_yearly_dataset]_[cv_splitter=ExpandingWindowSplitter],8631045831686782.0,0.1680551723346564,448.4573788996786,70.72869012132287,,,,8631045831686782.0,0.1680551723346564,448.4573788996786,70.72869012132287,,,,
Holt,[dataset=m4_yearly_dataset]_[cv_splitter=ExpandingWindowSplitter],9938463354609920.0,0.17650739054124637,402.0793482568115,69.62229614704847,,,,9938463354609920.0,0.17650739054124637,402.0793482568115,69.62229614704847,,,,
Naive_1,[dataset=m4_yearly_dataset]_[cv_splitter=ExpandingWindowSplitter],0.9937608695652174,0.21874037252756146,116.15610845200717,228.13892792724073,,,,0.9937608695652174,0.21874037252756146,116.15610845200717,228.13892792724073,,,,
Naive_S,[dataset=m4_yearly_dataset]_[cv_splitter=ExpandingWindowSplitter],0.9937608695652174,0.21874037252756146,115.24814340472221,228.06950395926833,,,,0.9937608695652174,0.21874037252756146,115.24814340472221,228.06950395926833,,,,
SES,[dataset=m4_yearly_dataset]_[cv_splitter=ExpandingWindowSplitter],1523570466451.108,0.21960572998952052,224.96121973358095,68.12355084344745,,,,1523570466451.108,0.21960572998952052,224.96121973358095,68.12355084344745,,,,
Theta,[dataset=m4_yearly_dataset]_[cv_splitter=ExpandingWindowSplitter],200205562122047.62,0.18026271917960152,329.04141069203615,128.88311249949038,,,,200205562122047.62,0.18026271917960152,329.04141069203615,128.88311249949038,,,,
